gene,ProteinName
cyp1a1,NP_000490.1
cyp1a2,NP_000752.2
cyp1b1,NP_000095.2
cyp2a6,NP_000753.3
cyp2a13,NP_000757.2
cyp2a7,NP_000755.2
cyp2b6,NP_000758.1
cyp2c8,NP_000761.3
cyp2c9,NP_000762.2
cyp2c18,NP_000763.1
cyp2c19,NP_000760.1
cyp2d6,NP_000097.3
cyp2e1,NP_000764.1
cyp2f1,NP_000765.2
cyp2j2,NP_000766.2
cyp2r1,NP_078790.2
cyp2s1,NP_085125.1
cyp2u1,NP_898898.1
cyp2w1,NP_060251.2
cyp3a4,NP_059488.2
cyp3a5,NP_000768.1
cyp3a7,NP_000756.3
cyp3a43,NP_476436.1
cyp4a11,NP_000769.2
cyp4a22,NP_001010969.2
cyp4b1,NP_000770.2
cyp4f2,NP_001073.3
cyp4f3,NP_000887.2
cyp4f8,NP_009184.1
cyp4f11,NP_001122404.1
cyp4f12,NP_076433.3
cyp4f22,NP_775754.2
cyp4v2,NP_997235.3
cyp4x1,NP_001307218.1
cyp4z1,NP_835235.1
cyp5a1,NP_001052.3
cyp7a1,NP_000771.2
cyp7b1,NP_001311041.1
cyp8a1,NP_000952.1
cyp8b1,NP_004382.2
cyp11a1,NP_000772.2
cyp11b1,NP_000488.3
cyp11b2,NP_000489.3
cyp17a1,NP_000093.1
cyp19a1,NP_000094.2
cyp20a1,NP_001358624.1
cyp21a2,NP_000491.4
cyp24a1,NP_000773.2
cyp26a1,NP_000774.2
cyp26b1,NP_001264671.1
cyp26c1,NP_899230.2
cyp27a1,NP_000775.1
cyp27b1,NP_000776.1
cyp27c1,NP_001001665.3
cyp39a1,NP_001265667.1
cyp46a1,NP_006659.1
cyp51a1,NP_000777.1